"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
"viio7/V"	""	"64"	"3.0"	"192.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vii"	"o"	"7"	""	"V"	false
"V(4)"	""	"65"	"1.0"	"193.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	"4"	""	false
"V"	""	"65"	"2.0"	"194.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	""	false
"V43/ii"	""	"65"	"3.0"	"195.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"43"	""	"ii"	false
"ii"	""	"66"	"1.0"	"196.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	""	""	""	false
"ii6"	""	"66"	"2.0"	"197.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"ii"	""	"6"	""	""	false
"V43/vi"	""	"66"	"3.0"	"198.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"43"	""	"vi"	false
"vi(4+2)"	""	"67"	"1.0"	"199.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vi"	""	""	"4+2"	""	false
"V/ii"	""	"67"	"2.0"	"200.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	""	""	"ii"	false
"V43/iii"	""	"67"	"3.0"	"201.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"43"	""	"iii"	false
"iii"	""	"68"	"1.0"	"202.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"iii"	""	""	""	""	false
"V2/vi"	""	"68"	"2.0"	"203.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"2"	""	"vi"	false
"vi6"	""	"68"	"3.0"	"204.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vi"	""	"6"	""	""	false
"V43/vi"	""	"69"	"1.0"	"205.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"43"	""	"vi"	false
"vi"	""	"69"	"2.0"	"206.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vi"	""	""	""	""	false
"V65/vi"	""	"69"	"3.0"	"207.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"V"	""	"65"	""	"vi"	false
"vi"	""	"70"	"1.0"	"208.0"	"3/4"	"18"	"1"	"3"	1.0	"F"	"I"	""	"vi"	""	""	""	""	false
